"No.","Ticker","Sector","Industry","Market Cap","P/E","Float %","Insider Transactions","Institutional Transactions","Short Float","Performance (Week)","Performance (Month)","Performance (YTD)","Beta","Average True Range","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","52-Week Range","Relative Strength Index (14)","Earnings Date","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change","After-Hours Close"
67,"RIOT","Financial","Capital Markets",6189.34,,94.21%,-1.27%,8.08%,21.68%,-4.10%,23.58%,64.01%,4.60,1.18,19.58%,53.36%,-16.82%,170.52%,6.19 - 20.13,59.64,7/31/2025 4:30:00 PM,6.45%,1.29,40415.46,2.20,16136391,16.75,0.03%,
68,"RUM","Communication Services","Internet Content & Information",3003.56,,68.99%,0.00%,21.10%,11.96%,-10.14%,-8.48%,-46.89%,0.70,0.33,-13.32%,-24.39%,-60.29%,35.76%,5.09 - 17.40,35.68,8/11/2025 8:30:00 AM,-0.97%,2.00,2901.82,2.07,1088465,6.91,-3.89%,
69,"SBSW","Basic Materials","Other Precious Metals & Mining",7801.73,,99.80%,0.00%,86.33%,1.54%,15.57%,40.27%,234.09%,0.69,0.44,25.13%,89.69%,0.50%,261.48%,3.05 - 10.97,74.35,8/28/2025 8:30:00 AM,0.66%,3.14,8533.22,1.91,2957792,11.02,3.42%,
70,"SMR","Industrials","Specialty Industrial Machinery",10760.46,,81.83%,-12.42%,9.16%,32.45%,-19.24%,7.43%,110.67%,2.04,3.42,-6.04%,35.50%,-29.40%,252.68%,10.71 - 53.50,48.55,8/7/2025 4:30:00 PM,1.09%,2.31,14523.47,1.73,4573324,37.77,0.19%,
71,"SNAP","Communication Services","Internet Content & Information",13966.47,,76.37%,-1.20%,-11.36%,9.68%,1.29%,18.24%,-23.26%,0.71,0.38,2.76%,-10.03%,-37.77%,19.78%,6.90 - 13.28,58.31,8/5/2025 4:30:00 PM,-0.72%,2.84,72803.73,1.81,23856961,8.27,-0.78%,
72,"SNDK","Technology","Computer Hardware",14172.29,,94.02%,0.00%,29.09%,4.53%,-4.90%,100.66%,170.00%,,5.37,63.35%,102.93%,-11.80%,248.57%,27.89 - 110.21,72.20,8/14/2025 4:30:00 PM,1.74%,1.89,3739.67,2.80,1903721,97.20,3.09%,
73,"SNY","Healthcare","Drug Manufacturers - General",111009.58,11.39,93.19%,,-0.57%,0.20%,-4.25%,-8.97%,-5.42%,0.50,0.88,-5.45%,-10.36%,-24.12%,1.98%,44.73 - 60.12,38.28,7/31/2025 8:30:00 AM,0.91%,1.50,2576.03,5.70,2666709,45.62,1.21%,
74,"SOC","Energy","Oil & Gas Drilling",2028.45,,76.52%,-1.31%,-5.98%,19.66%,-13.48%,-28.12%,-10.98%,0.56,1.92,-23.33%,-17.37%,-41.76%,25.37%,16.26 - 35.00,37.34,8/12/2025 8:30:00 AM,0.74%,1.00,3428.86,2.18,1356694,20.39,1.17%,
75,"TSLA","Consumer Cyclical","Auto Manufacturers",1407271.98,245.09,86.72%,0.29%,1.69%,3.08%,-0.67%,21.06%,4.80%,2.06,15.88,20.36%,26.57%,-13.37%,99.53%,212.11 - 488.54,65.48,7/23/2025 4:30:00 PM,1.18%,2.55,89454.68,1.70,27611590,423.22,-0.04%,
76,"UAMY","Basic Materials","Other Industrial Metals & Mining",824.76,,88.38%,0.00%,22.64%,16.27%,-1.28%,39.59%,261.98%,-0.13,0.61,43.77%,127.26%,-21.57%,1207.28%,0.49 - 8.17,65.44,8/12/2025 4:30:00 PM,2.38%,1.00,6930.90,2.77,3484453,6.41,1.54%,
